,0,1,2,3,4,5
0,0.1871,0.1774,0.1723,0.1623,0.1565,0.1444
1,0.2156,0.1915,0.1721,0.1522,0.1363,0.1323
2,0.2382,0.2116,0.1767,0.1435,0.1265,0.1035
3,0.271,0.2172,0.1754,0.1378,0.108,0.0906
4,0.3105,0.2264,0.1688,0.1232,0.0965,0.0746
5,0.3447,0.2376,0.1659,0.1159,0.0828,0.0531
6,0.3756,0.2461,0.1567,0.1076,0.0667,0.0473
7,0.4225,0.2575,0.1425,0.0928,0.0529,0.0318
8,0.4652,0.2539,0.1397,0.0805,0.0399,0.0208
9,0.5048,0.2583,0.1256,0.0612,0.0339,0.0162
10,0.5566,0.2488,0.1133,0.046,0.0228,0.0125
11,0.6057,0.237,0.0928,0.0414,0.0166,0.0065
12,0.6586,0.221,0.0789,0.0284,0.0098,0.0033
13,0.7001,0.2101,0.0647,0.0188,0.0049,0.0014
14,0.7483,0.19,0.0461,0.0119,0.0032,0.0005
15,0.8053,0.1584,0.0301,0.0052,0.001,0.0
16,0.8478,0.131,0.0185,0.0022,0.0005,0.0
17,0.9025,0.0881,0.0082,0.0011,0.0001,0.0
